id_ves,id_fish,catch_volume,product_uni,volumn_uni,id_fish_uni,new_name,volume
2.0,847.0,25516.0,4121.0,25516.0,,,
2.0,847.0,25516.0,-847.0,0.0,,,
2.0,849.0,13189.0,4502.0,13189.0,,,
2.0,849.0,13189.0,-849.0,0.0,,,
4.0,848.0,651.0,4548.0,651.0,,,
4.0,848.0,651.0,-848.0,0.0,,,
6.0,847.0,10169.0,4121.0,10169.0,,,
6.0,847.0,10169.0,-847.0,0.0,,,
10.0,292.0,1164.0,3007.0,0.0,,,
10.0,292.0,1164.0,-292.0,1164.0,,,
10.0,400.0,36850.0,2143.0,0.0,,,
10.0,400.0,36850.0,-400.0,36850.0,,,
10.0,451.0,21.0,2067.0,0.0,,,
10.0,451.0,21.0,-451.0,21.0,,,
11.0,204.0,49400.0,-204.0,49400.0,,,
11.0,292.0,6199.0,-292.0,6199.0,,,
11.0,400.0,570150.0,-400.0,570150.0,,,
11.0,451.0,4100.0,-451.0,4100.0,,,
12.0,224.0,350244.0,4567.0,16500.0,,,
12.0,224.0,350244.0,4568.0,327200.0,,,
12.0,224.0,350244.0,-224.0,6544.0,,,
14.0,294.0,47694.0,2305.0,0.0,,,
14.0,294.0,47694.0,-294.0,47694.0,,,
18.0,400.0,4488565.0,1474.0,71169.0,,,
18.0,400.0,4488565.0,2606.0,434649.0,,,
18.0,400.0,4488565.0,2634.0,104213.0,,,
18.0,400.0,4488565.0,3501.0,1158027.0,,,
18.0,400.0,4488565.0,3964.0,63901.0,,,
18.0,400.0,4488565.0,4253.0,0.0,,,
18.0,400.0,4488565.0,4785.0,240096.0,,,
18.0,400.0,4488565.0,-400.0,2416510.0,,,
19.0,692.0,684785.0,3794.0,678006.0,,,
19.0,692.0,684785.0,-692.0,6779.0,,,
23.0,847.0,55446.0,4121.0,0.0,,,
23.0,847.0,55446.0,-847.0,55446.0,,,
26.0,692.0,637645.0,3794.0,631332.0,,,
26.0,692.0,637645.0,-692.0,6313.0,,,
29.0,173.0,6119.0,5588.0,6119.0,,,
29.0,173.0,6119.0,-173.0,0.0,,,
29.0,228.0,261226.0,1702.0,261226.0,,,
29.0,228.0,261226.0,-228.0,0.0,,,
29.0,292.0,1.0,4319.0,1.0,,,
29.0,292.0,1.0,-292.0,0.0,,,
29.0,717.0,5.0,-717.0,5.0,,,
32.0,400.0,3852632.0,1474.0,23506.0,,,
32.0,400.0,3852632.0,2008.0,0.0,,,
32.0,400.0,3852632.0,2472.0,7314.0,,,
32.0,400.0,3852632.0,2606.0,204406.0,,,
32.0,400.0,3852632.0,2620.0,80942.0,,,
32.0,400.0,3852632.0,3501.0,181051.0,,,
32.0,400.0,3852632.0,3964.0,10104.0,,,
32.0,400.0,3852632.0,3981.0,847452.0,,,
32.0,400.0,3852632.0,-400.0,2497857.0,,,
36.0,173.0,5785.0,1066.0,5785.0,,,
36.0,173.0,5785.0,-173.0,0.0,,,
36.0,228.0,98004.0,1702.0,97964.0,,,
36.0,228.0,98004.0,-228.0,40.0,,,
36.0,717.0,5.0,-717.0,5.0,,,
38.0,400.0,3907837.0,1474.0,161999.0,,,
38.0,400.0,3907837.0,2143.0,0.0,,,
38.0,400.0,3907837.0,2606.0,473490.0,,,
38.0,400.0,3907837.0,2634.0,37996.0,,,
38.0,400.0,3907837.0,3501.0,1307110.0,,,
38.0,400.0,3907837.0,3964.0,79248.0,,,
38.0,400.0,3907837.0,4253.0,0.0,,,
38.0,400.0,3907837.0,4785.0,266231.0,,,
38.0,400.0,3907837.0,-400.0,1581763.0,,,
41.0,292.0,9888.0,3007.0,0.0,,,
41.0,292.0,9888.0,-292.0,9888.0,,,
41.0,400.0,885689.0,2143.0,0.0,,,
41.0,400.0,885689.0,-400.0,885689.0,,,
41.0,403.0,139015.0,2149.0,0.0,,,
41.0,403.0,139015.0,-403.0,139015.0,,,
41.0,451.0,7846.0,2067.0,0.0,,,
41.0,451.0,7846.0,-451.0,7846.0,,,
41.0,457.0,3568.0,-457.0,3568.0,,,
46.0,821.0,12825.0,2337.0,7605.0,,,
46.0,821.0,12825.0,-821.0,5220.0,,,
48.0,113.0,81.0,-113.0,81.0,,,
48.0,292.0,25357.0,-292.0,25357.0,,,
48.0,408.0,23253.0,-408.0,23253.0,,,
48.0,591.0,360.0,-591.0,360.0,,,
48.0,610.0,2965.0,-610.0,2965.0,,,
48.0,616.0,72.0,-616.0,72.0,,,
48.0,617.0,1922.0,-617.0,1922.0,,,
49.0,173.0,3387.0,5588.0,3387.0,,,
49.0,173.0,3387.0,-173.0,0.0,,,
49.0,228.0,206739.0,255240.0,206739.0,,,
49.0,228.0,206739.0,-228.0,0.0,,,
49.0,717.0,2.0,-717.0,2.0,,,
51.0,113.0,409.0,-113.0,409.0,,,
51.0,147.0,880.0,-147.0,880.0,,,
51.0,292.0,68850.0,4352.0,45900.0,,,
51.0,292.0,68850.0,4648.0,2324.0,,,
51.0,292.0,68850.0,-292.0,20626.0,,,
51.0,408.0,23814.0,5427.0,17010.0,,,
51.0,408.0,23814.0,-408.0,6804.0,,,
51.0,610.0,4090.0,5072.0,2740.0,,,
51.0,610.0,4090.0,-610.0,1350.0,,,
51.0,617.0,4272.0,1092.0,2700.0,,,
51.0,617.0,4272.0,-617.0,1572.0,,,
51.0,714.0,1242.0,9534.0,890.0,,,
51.0,714.0,1242.0,-714.0,352.0,,,
54.0,112.0,1120.0,-112.0,1120.0,,,
54.0,292.0,1800.0,9021.0,1200.0,,,
54.0,292.0,1800.0,-292.0,600.0,,,
54.0,414.0,20600.0,1391.0,2000.0,,,
54.0,414.0,20600.0,9073.0,17400.0,,,
54.0,414.0,20600.0,-414.0,1200.0,,,
54.0,683.0,47275.0,5336.0,26250.0,,,
54.0,683.0,47275.0,9101.0,5275.0,,,
54.0,683.0,47275.0,-683.0,15750.0,,,
60.0,112.0,116.0,2076.0,0.0,,,
60.0,112.0,116.0,-112.0,116.0,,,
60.0,144.0,4399.0,3142.0,0.0,,,
60.0,144.0,4399.0,-144.0,4399.0,,,
60.0,292.0,55607.0,3007.0,0.0,,,
60.0,292.0,55607.0,-292.0,55607.0,,,
60.0,400.0,238415.0,2143.0,0.0,,,
60.0,400.0,238415.0,-400.0,238415.0,,,
60.0,451.0,29631.0,2067.0,0.0,,,
60.0,451.0,29631.0,-451.0,29631.0,,,
60.0,677.0,11452.0,2017.0,0.0,,,
60.0,677.0,11452.0,-677.0,11452.0,,,
60.0,692.0,44.0,-692.0,44.0,,,
61.0,188.0,596702.0,-188.0,596702.0,,,
62.0,128.0,3595.0,-128.0,3595.0,,,
68.0,292.0,14810.0,3007.0,0.0,,,
68.0,292.0,14810.0,-292.0,14810.0,,,
68.0,400.0,276540.0,2143.0,0.0,,,
68.0,400.0,276540.0,-400.0,276540.0,,,
68.0,403.0,220.0,-403.0,220.0,,,
68.0,451.0,2160.0,2067.0,0.0,,,
68.0,451.0,2160.0,-451.0,2160.0,,,
69.0,292.0,19590.0,-292.0,19590.0,,,
69.0,400.0,88981.0,-400.0,88981.0,,,
69.0,451.0,110.0,-451.0,110.0,,,
69.0,457.0,95.0,-457.0,95.0,,,
71.0,188.0,305947.0,-188.0,305947.0,,,
71.0,291.0,120.0,-291.0,120.0,,,
74.0,113.0,125.0,1126.0,95.0,,,
74.0,113.0,125.0,-113.0,30.0,,,
74.0,147.0,380.0,-147.0,380.0,,,
74.0,292.0,44348.0,4352.0,29565.0,,,
74.0,292.0,44348.0,4648.0,930.0,,,
74.0,292.0,44348.0,-292.0,13853.0,,,
74.0,408.0,31311.0,5427.0,22365.0,,,
74.0,408.0,31311.0,-408.0,8946.0,,,
74.0,610.0,1345.0,5072.0,900.0,,,
74.0,610.0,1345.0,-610.0,445.0,,,
74.0,617.0,1581.0,1092.0,1000.0,,,
74.0,617.0,1581.0,-617.0,581.0,,,
74.0,714.0,699.0,9534.0,500.0,,,
74.0,714.0,699.0,-714.0,199.0,,,
81.0,112.0,1188.0,4835.0,527.0,,,
81.0,112.0,1188.0,9639.0,260.0,,,
81.0,112.0,1188.0,-112.0,401.0,,,
81.0,113.0,87.0,4989.0,59.0,,,
81.0,113.0,87.0,-113.0,28.0,,,
81.0,292.0,33760.0,1593.0,18838.0,,,
81.0,292.0,33760.0,2676.0,44.0,,,
81.0,292.0,33760.0,4553.0,115.0,,,
81.0,292.0,33760.0,4946.0,69.0,,,
81.0,292.0,33760.0,-292.0,14694.0,,,
81.0,400.0,44954.0,1474.0,999.0,,,
81.0,400.0,44954.0,2472.0,529.0,,,
81.0,400.0,44954.0,2675.0,410.0,,,
81.0,400.0,44954.0,3524.0,25629.0,,,
81.0,400.0,44954.0,-400.0,17387.0,,,
81.0,451.0,22276.0,4850.0,455.0,,,
81.0,451.0,22276.0,4913.0,7444.0,,,
81.0,451.0,22276.0,9538.0,1481.0,,,
81.0,451.0,22276.0,9541.0,5387.0,,,
81.0,451.0,22276.0,9543.0,1800.0,,,
81.0,451.0,22276.0,-451.0,5709.0,,,
81.0,692.0,38838.0,3794.0,38453.0,,,
81.0,692.0,38838.0,-692.0,385.0,,,
84.0,128.0,20.0,-128.0,20.0,,,
84.0,487.0,18.0,-487.0,18.0,,,
84.0,516.0,8235.0,-516.0,8235.0,,,
85.0,233.0,7500.0,-233.0,7500.0,,,
86.0,821.0,27579.0,2337.0,0.0,,,
86.0,821.0,27579.0,-821.0,27579.0,,,
87.0,173.0,7471.0,5588.0,7471.0,,,
87.0,173.0,7471.0,-173.0,0.0,,,
87.0,228.0,399853.0,1702.0,399853.0,,,
87.0,228.0,399853.0,-228.0,0.0,,,
87.0,717.0,7.0,-717.0,7.0,,,
92.0,839.0,3370.0,-839.0,3370.0,,,
93.0,859.0,58698.0,4590.0,52896.0,,,
93.0,859.0,58698.0,4611.0,2100.0,,,
93.0,859.0,58698.0,-859.0,3702.0,,,
108.0,6.0,648.0,9660.0,638.0,,,
108.0,6.0,648.0,-6.0,10.0,,,
108.0,128.0,581462.0,-128.0,581462.0,,,
108.0,516.0,5278.0,-516.0,5278.0,,,
109.0,144.0,1152.0,-144.0,1152.0,,,
109.0,292.0,1599.0,-292.0,1599.0,,,
109.0,400.0,31512.0,-400.0,31512.0,,,
109.0,451.0,77316.0,-451.0,77316.0,,,
109.0,677.0,1789.0,-677.0,1789.0,,,
109.0,692.0,1016.0,-692.0,1016.0,,,
109.0,887.0,256.0,-887.0,256.0,,,
111.0,113.0,26.0,1126.0,20.0,,,
111.0,113.0,26.0,-113.0,6.0,,,
111.0,292.0,23325.0,1135.0,15550.0,,,
111.0,292.0,23325.0,1923.0,300.0,,,
111.0,292.0,23325.0,4648.0,870.0,,,
111.0,292.0,23325.0,-292.0,6605.0,,,
111.0,408.0,16800.0,5427.0,12000.0,,,
111.0,408.0,16800.0,-408.0,4800.0,,,
111.0,410.0,533.0,5517.0,350.0,,,
111.0,410.0,533.0,-410.0,183.0,,,
111.0,610.0,172.0,5081.0,115.0,,,
111.0,610.0,172.0,-610.0,57.0,,,
111.0,617.0,427.0,1092.0,270.0,,,
111.0,617.0,427.0,-617.0,157.0,,,
111.0,683.0,3444.0,2388.0,2270.0,,,
111.0,683.0,3444.0,-683.0,1174.0,,,
111.0,714.0,999.0,9534.0,715.0,,,
111.0,714.0,999.0,-714.0,284.0,,,
111.0,721.0,653.0,-721.0,653.0,,,
114.0,294.0,160.0,2305.0,0.0,,,
114.0,294.0,160.0,-294.0,160.0,,,
115.0,112.0,2769.0,4835.0,910.0,,,
115.0,112.0,2769.0,9639.0,926.0,,,
115.0,112.0,2769.0,-112.0,933.0,,,
115.0,292.0,138387.0,1593.0,76960.0,,,
115.0,292.0,138387.0,2676.0,1000.0,,,
115.0,292.0,138387.0,3007.0,0.0,,,
115.0,292.0,138387.0,4553.0,976.0,,,
115.0,292.0,138387.0,4946.0,746.0,,,
115.0,292.0,138387.0,5018.0,1442.0,,,
115.0,292.0,138387.0,-292.0,57263.0,,,
115.0,400.0,213476.0,1474.0,7945.0,,,
115.0,400.0,213476.0,2472.0,345.0,,,
115.0,400.0,213476.0,2675.0,765.0,,,
115.0,400.0,213476.0,3524.0,121708.0,,,
115.0,400.0,213476.0,3964.0,552.0,,,
115.0,400.0,213476.0,-400.0,82161.0,,,
115.0,451.0,67871.0,4850.0,33536.0,,,
115.0,451.0,67871.0,4913.0,8722.0,,,
115.0,451.0,67871.0,9541.0,3636.0,,,
115.0,451.0,67871.0,9543.0,3546.0,,,
115.0,451.0,67871.0,-451.0,18431.0,,,
115.0,692.0,115380.0,3794.0,114238.0,,,
115.0,692.0,115380.0,-692.0,1142.0,,,
117.0,821.0,27764.0,2337.0,27763.0,,,
117.0,821.0,27764.0,-821.0,1.0,,,
122.0,88.0,32.0,-88.0,32.0,,,
122.0,124.0,1.0,-124.0,1.0,,,
122.0,144.0,179.0,-144.0,179.0,,,
122.0,203.0,13.0,-203.0,13.0,,,
122.0,292.0,4186.0,-292.0,4186.0,,,
122.0,294.0,1.0,-294.0,1.0,,,
122.0,304.0,20.0,-304.0,20.0,,,
122.0,352.0,2.0,-352.0,2.0,,,
122.0,408.0,4812.0,-408.0,4812.0,,,
122.0,410.0,1.0,-410.0,1.0,,,
122.0,411.0,231.0,-411.0,231.0,,,
122.0,610.0,173.0,-610.0,173.0,,,
122.0,616.0,126.0,-616.0,126.0,,,
122.0,617.0,151.0,-617.0,151.0,,,
122.0,677.0,3.0,-677.0,3.0,,,
122.0,683.0,9.0,-683.0,9.0,,,
122.0,714.0,1205.0,-714.0,1205.0,,,
122.0,720.0,16.0,-720.0,16.0,,,
122.0,721.0,1631.0,-721.0,1631.0,,,
122.0,729.0,96.0,-729.0,96.0,,,
122.0,734.0,2.0,-734.0,2.0,,,
122.0,859.0,230.0,-859.0,230.0,,,
122.0,882.0,386.0,-882.0,386.0,,,
122.0,978.0,2.0,-978.0,2.0,,,
122.0,984.0,2637.0,-984.0,2637.0,,,
124.0,294.0,58891.0,3164.0,6159.0,,,
124.0,294.0,58891.0,4014.0,27340.0,,,
124.0,294.0,58891.0,4049.0,2064.0,,,
124.0,294.0,58891.0,-294.0,23328.0,,,
127.0,204.0,90100.0,-204.0,90100.0,,,
127.0,292.0,11500.0,-292.0,11500.0,,,
127.0,400.0,556200.0,-400.0,556200.0,,,
127.0,403.0,140.0,-403.0,140.0,,,
127.0,451.0,3000.0,-451.0,3000.0,,,
129.0,294.0,26013.0,2305.0,0.0,,,
129.0,294.0,26013.0,-294.0,26013.0,,,
129.0,847.0,21237.0,4121.0,0.0,,,
129.0,847.0,21237.0,-847.0,21237.0,,,
131.0,409.0,401839.0,2281.0,399840.0,,,
131.0,409.0,401839.0,-409.0,1999.0,,,
138.0,173.0,78095.0,1066.0,78095.0,,,
138.0,173.0,78095.0,-173.0,0.0,,,
138.0,228.0,13284.0,1702.0,13284.0,,,
138.0,228.0,13284.0,-228.0,0.0,,,
138.0,717.0,1.0,-717.0,1.0,,,
143.0,400.0,1376556.0,1472.0,56390.0,,,
143.0,400.0,1376556.0,1473.0,0.0,,,
143.0,400.0,1376556.0,3524.0,848368.0,,,
143.0,400.0,1376556.0,3964.0,15921.0,,,
143.0,400.0,1376556.0,-400.0,455877.0,,,
144.0,946.0,7670.0,-946.0,7670.0,,,
146.0,88.0,6857.0,-88.0,6857.0,,,
146.0,113.0,2370.0,1617.0,358.0,,,
146.0,113.0,2370.0,4450.0,253.0,,,
146.0,113.0,2370.0,4451.0,1370.0,,,
146.0,113.0,2370.0,-113.0,389.0,,,
146.0,147.0,4202.0,-147.0,4202.0,,,
146.0,292.0,697319.0,1356.0,17417.0,,,
146.0,292.0,697319.0,3615.0,19778.0,,,
146.0,292.0,697319.0,5995.0,25077.0,,,
146.0,292.0,697319.0,5999.0,207851.0,,,
146.0,292.0,697319.0,9015.0,8510.0,,,
146.0,292.0,697319.0,9017.0,108205.0,,,
146.0,292.0,697319.0,9091.0,115236.0,,,
146.0,292.0,697319.0,-292.0,195245.0,,,
146.0,401.0,1508.0,5258.0,1077.0,,,
146.0,401.0,1508.0,-401.0,431.0,,,
